"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1908","Canada","2016A000011124","Seeded area","Acres","28","units","0","v47140","1.1","503600","","","","0"
"1908","Canada","2016A000011124","Average yield","Hundredweight per harvested acres","159","units","0","v47151","1.2","87.9","","","","1"
"1908","Canada","2016A000011124","Production","Hundredweight","156","thousands","3","v47162","1.3","44273","","","","0"
"1908","Canada","2016A000011124","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47173","1.4","0.79","","","t","2"
"1908","Canada","2016A000011124","Total farm value, potatoes","Dollars","81","thousands","3","v47184","1.5","34819","","","t","0"
"1908","Prince Edward Island","2016A000211","Seeded area","Acres","28","units","0","v47141","3.1","33300","","","","0"
"1908","Prince Edward Island","2016A000211","Average yield","Hundredweight per harvested acres","159","units","0","v47152","3.2","132.0","","","","1"
"1908","Prince Edward Island","2016A000211","Production","Hundredweight","156","thousands","3","v47163","3.3","4396","","","","0"
"1908","Prince Edward Island","2016A000211","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47174","3.4","0.42","","","t","2"
"1908","Prince Edward Island","2016A000211","Total farm value, potatoes","Dollars","81","thousands","3","v47185","3.5","1832","","","t","0"
"1908","Nova Scotia","2016A000212","Seeded area","Acres","28","units","0","v47142","4.1","43800","","","","0"
"1908","Nova Scotia","2016A000212","Average yield","Hundredweight per harvested acres","159","units","0","v47153","4.2","108.0","","","","1"
"1908","Nova Scotia","2016A000212","Production","Hundredweight","156","thousands","3","v47164","4.3","4730","","","","0"
"1908","Nova Scotia","2016A000212","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47175","4.4","0.70","","","t","2"
"1908","Nova Scotia","2016A000212","Total farm value, potatoes","Dollars","81","thousands","3","v47186","4.5","3311","","","t","0"
"1908","New Brunswick","2016A000213","Seeded area","Acres","28","units","0","v47143","5.1","53600","","","","0"
"1908","New Brunswick","2016A000213","Average yield","Hundredweight per harvested acres","159","units","0","v47154","5.2","125.4","","","","1"
"1908","New Brunswick","2016A000213","Production","Hundredweight","156","thousands","3","v47165","5.3","6721","","","","0"
"1908","New Brunswick","2016A000213","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47176","5.4","0.70","","","t","2"
"1908","New Brunswick","2016A000213","Total farm value, potatoes","Dollars","81","thousands","3","v47187","5.5","4705","","","t","0"
"1908","Quebec","2016A000224","Seeded area","Acres","28","units","0","v47144","6.1","139000","","","","0"
"1908","Quebec","2016A000224","Average yield","Hundredweight per harvested acres","159","units","0","v47155","6.2","72.0","","","","1"
"1908","Quebec","2016A000224","Production","Hundredweight","156","thousands","3","v47166","6.3","10008","","","","0"
