x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STN_ID
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.1,2015-01-01 00:00:00,NB,2015,1,1,-8.7,,-14.7,,-2.6,,0,,,M,,M,,,23,,32,,0,,26.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.2,2015-01-02 00:00:00,NB,2015,1,2,-7.6,,-14.3,,-0.8,,0,,,M,,M,,,28,,63,,0,,25.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.3,2015-01-03 00:00:00,NB,2015,1,3,-14.8,,-17.2,,-12.4,,1.7,,,M,,M,,,31,,39,,0,,32.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.4,2015-01-04 00:00:00,NB,2015,1,4,-8.6,,-13.1,,-4,,14.4,,,M,,M,,,0,,0,,0,,26.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.5,2015-01-05 00:00:00,NB,2015,1,5,-9.4,,-18.5,,-0.2,,0.6,,,M,,M,,,28,,76,,0,,27.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.6,2015-01-06 00:00:00,NB,2015,1,6,-19.9,,-22.4,,-17.3,,0,,,M,,M,,,27,,52,,0,,37.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.7,2015-01-07 00:00:00,NB,2015,1,7,-15.3,,-20.8,,-9.8,,0.2,,,M,,M,,,33,,39,,0,,33.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.8,2015-01-08 00:00:00,NB,2015,1,8,-22.2,,-25.5,,-18.8,,0,,,M,,M,,,32,,35,,0,,40.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.9,2015-01-09 00:00:00,NB,2015,1,9,-13.7,,-23.5,,-3.9,,3.8,,,M,,M,,,30,,41,,0,,31.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.10,2015-01-10 00:00:00,NB,2015,1,10,-11.5,,-15.4,,-7.5,,0,,,M,,M,,,30,,43,,0,,29.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.11,2015-01-11 00:00:00,NB,2015,1,11,-13.3,,-21.3,,-5.3,,0,,,M,,M,,,28,,33,,0,,31.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.12,2015-01-12 00:00:00,NB,2015,1,12,-6.9,,-9.7,,-4.1,,7.3,,,M,,M,,,0,,0,,0,,24.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.13,2015-01-13 00:00:00,NB,2015,1,13,-15.2,,-25.6,,-4.8,,0.2,,,M,,M,,,34,,41,,0,,33.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.14,2015-01-14 00:00:00,NB,2015,1,14,-19.1,,-28.7,,-9.5,,0.2,,,M,,M,,,0,,0,,0,,37.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.15,2015-01-15 00:00:00,NB,2015,1,15,-13.6,,-20.6,,-6.5,,0,,,M,,M,,,0,,0,,0,,31.6,,,,,,30309
