x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STN_ID
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.1,2015-01-01 00:00:00,PE,2015,1,1,-9.2,,-14.4,,-4,,0,,,M,,M,1,,18,,33,,0,,27.2,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.2,2015-01-02 00:00:00,PE,2015,1,2,-7.5,,-13.4,,-1.5,,0.5,,,M,,M,1,,29,,50,,0,,25.5,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.3,2015-01-03 00:00:00,PE,2015,1,3,-14,,-16.1,,-11.9,,0.4,,,M,,M,1,,28,,48,,0,,32,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.4,2015-01-04 00:00:00,PE,2015,1,4,-3.1,,-11.9,,5.8,,11.1,,,M,,M,7,,12,,50,,0,,21.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.5,2015-01-05 00:00:00,PE,2015,1,5,-4.8,,-15.5,,5.9,,2.9,,,M,,M,5,,24,,76,,0,,22.8,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.6,2015-01-06 00:00:00,PE,2015,1,6,-17.5,,-19.4,,-15.5,,0.8,,,M,,M,2,,26,,59,,0,,35.5,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.7,2015-01-07 00:00:00,PE,2015,1,7,-14,,-17.7,,-10.3,,0.5,,,M,,M,2,,0,,0,,0,,32,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.8,2015-01-08 00:00:00,PE,2015,1,8,-16.4,,-20.2,,-12.5,,1.2,,,M,,M,2,,28,,41,,0,,34.4,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.9,2015-01-09 00:00:00,PE,2015,1,9,-9.1,,-19,,0.9,,5.1,,,M,,M,2,,17,,61,,0,,27.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.10,2015-01-10 00:00:00,PE,2015,1,10,-11.9,,-14.6,,-9.1,,1,,,M,,M,10,,26,,41,,0,,29.9,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.11,2015-01-11 00:00:00,PE,2015,1,11,-11.1,,-15.4,,-6.7,,1.7,,,M,,M,9,,25,,33,,0,,29.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.12,2015-01-12 00:00:00,PE,2015,1,12,-5.1,,-6.7,,-3.4,,7.4,,,M,,M,9,,33,,32,,0,,23.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.13,2015-01-13 00:00:00,PE,2015,1,13,-12.1,,-19.9,,-4.2,,0.3,,,M,,M,17,,36,,50,,0,,30.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.14,2015-01-14 00:00:00,PE,2015,1,14,-13.9,,-20,,-7.7,,0.7,,,M,,M,,,0,,0,,0,,31.9,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.15,2015-01-15 00:00:00,PE,2015,1,15,-8.6,,-13.7,,-3.5,,1.1,,,M,,M,12,,0,,0,,0,,26.6,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.16,2015-01-16 00:00:00,PE,2015,1,16,-7,,-15.3,,1.3,,4.8,,,M,,M,17,,27,,52,,0,,25,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.17,2015-01-17 00:00:00,PE,2015,1,17,-18.1,,-20.9,,-15.2,,0.4,,,M,,M,17,,26,,39,,0,,36.1,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.18,2015-01-18 00:00:00,PE,2015,1,18,-8.4,,-20.9,,4.1,,1.3,,,M,,M,17,,17,,56,,0,,26.4,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.19,2015-01-19 00:00:00,PE,2015,1,19,4.2,,1.7,,6.6,,11.7,,,M,,M,12,,14,,76,,0,,13.8,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.20,2015-01-20 00:00:00,PE,2015,1,20,-5,,-11.6,,1.7,,0,,,M,,M,2,,25,,54,,0,,23,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.21,2015-01-21 00:00:00,PE,2015,1,21,-10.5,,-13.2,,-7.8,,0.9,,,M,,M,2,,28,,41,,0,,28.5,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.22,2015-01-22 00:00:00,PE,2015,1,22,-6.8,,-9.4,,-4.1,,0.3,,,M,,M,2,,35,,39,,0,,24.8,,,,,,30308
-63.16973611111111,46.34361666666667,HARRINGTON CDA CS,830P001,830P001.2015.1.23,2015-01-23 00:00:00,PE,2015,1,23,-6.6,,-8.8,,-4.3,,0.7,,,M,,M,2,,35,,37,,0,,24.6,,,,,,30308
